RF,Time,Latitude,Longitude,Altitude
1,10:45:16,22.90293,120.2731349,20.963
1,10:45:18,22.9028839,120.2730938,20.579
1,10:45:21,22.9027976,120.2730221,20.244
1,10:45:23,22.9027139,120.2729594,20.488
1,10:45:26,22.9026892,120.2729157,21.256
1,10:45:28,22.902708,120.2728924,21.465
1,10:45:31,22.9028057,120.2727709,20.263
1,10:45:33,22.9028664,120.2726871,20.265
1,10:45:36,22.9029121,120.2726328,19.762
1,10:45:38,22.9029186,120.2726234,19.588
1,10:45:41,22.9028788,120.2726366,19.887
1,10:45:43,22.90285,120.2726432,19.884
1,10:45:46,22.9027061,120.2726469,20.538
1,10:45:48,22.9025974,120.2726566,20.922
1,10:45:51,22.9024816,120.2726694,20.338
1,10:45:53,22.9023783,120.2726789,19.761
1,10:45:56,22.9022624,120.2726924,20.178
1,10:45:58,22.9021708,120.2726988,20.071
1,10:46:01,22.9020728,120.2727245,20.681
1,10:46:03,22.9020635,120.2727928,19.936
1,10:46:06,22.9020654,120.2728656,20.163
1,10:46:08,22.9020722,120.2729942,20.1
1,10:46:11,22.902083,120.2730997,20.283
1,10:46:13,22.9021007,120.2731974,21.304
1,10:46:16,22.902106,120.2732401,26.462
1,10:46:18,22.902106,120.2732414,29.539
1,10:46:21,22.902146,120.2732409,30.49
1,10:46:23,22.9022084,120.2732382,30.029
1,10:46:26,22.9023246,120.2732175,29.72
1,10:46:28,22.9024251,120.2732052,29.989
1,10:46:31,22.9025234,120.273198,30.013
1,10:46:33,22.9026465,120.2731874,29.951
1,10:46:36,22.9027441,120.2731755,30.151
1,10:46:38,22.9028548,120.2731637,30.212
1,10:46:41,22.9029289,120.2731536,29.904
2,10:50:28,22.9029768,120.2731055,20.208
2,10:50:30,22.9030034,120.2730581,20.134
2,10:50:33,22.9030267,120.2730205,20.341
2,10:50:35,22.9030479,120.2729811,20.099
2,10:50:38,22.9030705,120.2729481,20.068
2,10:50:40,22.9030893,120.2729174,20.097
2,10:50:43,22.9031068,120.2728913,20.174
2,10:50:45,22.903102,120.2728549,19.91
2,10:50:48,22.9030548,120.2728069,20.12
2,10:50:50,22.903015,120.2727786,20.458
2,10:50:53,22.9029797,120.2727492,20.391
2,10:50:55,22.9029488,120.2727153,20.444
2,10:50:58,22.9029139,120.2726849,20.177
2,10:51:00,22.9028772,120.2726515,20.14
2,10:51:03,22.9028387,120.2726182,20.382
2,10:51:05,22.9028174,120.272611,20.457
2,10:51:08,22.9027667,120.2726512,20.533
2,10:51:10,22.9027353,120.2726852,20.383
2,10:51:13,22.9027003,120.2727272,20.073
2,10:51:15,22.9026716,120.2727572,19.861
2,10:51:18,22.9026317,120.2728,19.772
2,10:51:20,22.9026048,120.2728254,19.925
2,10:51:23,22.902556,120.2728749,20.074
